公司名称,产品名称,上市年份,上市月份,价格(元),运行内存(GB),存储容量(GB),操作系统,处理器型号,屏幕尺寸(英寸),屏幕分辨率,重量(g),评论人数,评分,电池类型,电池容量
华为,HUAWEI MatePad 10.4英寸 2022款（6GB/128GB/WiFi）,2022,3,1853,6,128,HarmonyOS 2,海思 麒麟710A,10.4,2000x1000,450,4423,10,锂电池,7250
华为,华为MatePad Pro 10.8英寸 2021款(8GB/128GB/WiFi),2021,6,3799,8,128,HarmonyOS 2,高通 骁龙870,10.8,2560x1600,460,3041,9.4,锂聚合物电池,7250
华为,华为平板M6 8.4英寸（4GB/64GB/WiFi）,2019,6,1799,4,64,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,7250
华为,华为MatePad Pro(6GB/128GB/WiFi版),2019,11,3599,6,128,EMUI 10.0.1 (基于Android 10.0),海思 麒麟990,10.8,2560x1600,460,1981,9.5,锂聚合物电池,7250
华为,华为MatePad SE（4GB/128GB/WiFi）,2022,5,1499,4,128,HarmonyOS 2,海思 麒麟710A,10.1,1920x1200,450,1431,8.5,锂电池,5100
华为,华为MatePad Pro 12.6英寸(8GB/256GB/WiFi),2021,6,5299,8,256,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为MatePad(4GB/64GB/WiFi版),2020,4,1599,4,64,HarmonyOS 2,海思 麒麟810,10.4,2000x1200,450,1303,8.9,锂电池,7250
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/标准版/曜石黑）,2023,,2499,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,HUAWEI MatePad 10.4英寸 2022款 悦动版（6GB/64GB/WiFi）,2022,3,2099,6,64,HarmonyOS 2,高通 骁龙778G 4G,10.4,2000x1200,450,4423,10,锂电池,7250
华为,HUAWEI MatePad Pro 12.6英寸 2022(8GB+128GB/wifi),2022,9,4298,8,128,HarmonyOS 3,麒麟9000E,12.6,2560x1600,,18,9.8,锂离子聚合物电池,10050
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/柔光版/流光紫）,2023,,2699,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,HUAWEI MatePad 10.4英寸 2022款 悦动版（6GB/128GB/WiFi）,2022,3,2399,6,128,HarmonyOS 2,高通 骁龙778G 4G,10.4,2000x1200,450,4423,10,锂电池,7250
华为,华为MatePad (6GB/128GB/WiFi/麒麟820),2020,10,2099,6,128,EMUI 10.1（基于Google Android 10）,海思 麒麟820,10.4,2000x1200,460,2293,9.3,锂电池,7250
华为,华为MatePad SE（4GB/128GB/全网通）,2022,5,1548,4,128,HarmonyOS 2,海思 麒麟710A,10.1,1920x1200,450,1431,8.5,锂电池,5100
华为,HUAWEI MatePad Pro 11英寸(8GB/128GB/WIFI/性能版),2022,8,3699,8,128,HarmonyOS 3,高通 骁龙888,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/柔光版/晶钻白）,2023,,2699,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,华为MatePad SE 10.4(6GB/128GB/WiFi),2023,2,1389,6,128,HarmonyOS 3,高通 骁龙680,10.4,2000x1200,468,2,8,锂电池,7700
华为,华为MatePad Pro 12.6英寸(8GB/128GB/WiFi),2021,6,4999,8,128,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,HUAWEI MatePad 10.4英寸 2022款（6GB/64GB/WiFi）,2022,3,1699,6,64,HarmonyOS 2,海思 麒麟710A,10.4,2000x1200,450,4423,10,锂电池,7250
华为,华为平板M6 10.8英寸（6GB/256GB/全网通）,2019,6,3800,6,256,Android9.0+EMUI 9.1,海思 麒麟980,10.8,2560x1600,498,703,9.1,锂电池,7500
华为,华为MatePad (4GB/64GB/WiFi/麒麟820),2020,10,1699,4,64,EMUI 10.1（基于Google Android 10）,海思 麒麟820,10.4,2000x1200,460,2293,9.3,锂电池,7250
华为,华为MatePad 11英寸 2023（8GB/256GB/WiFi/柔光版/晶钻白）,2023,,2999,8,256,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,HUAWEI MatePad Pro 11英寸(8GB/256GB/WIFI),2022,8,3679,8,256,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为平板M6 8.4英寸（8GB/128GB/全网通）,2019,6,2299,8,128,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,6100
华为,HUAWEI MatePad 10.4英寸 2022款 悦动版（6GB/128GB/LTE）,2022,3,2489,6,128,HarmonyOS 2,高通 骁龙778G 4G,10.4,2000x1200,450,4423,10,锂电池,7250
华为,华为MatePad Pro 12.6英寸(12GB/512GB/WiFi/键盘/笔),2021,9,8199,12,512,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为MatePad 5G(6GB/128GB/全网通),2020,9,3199,6,128,EMUI 10.1（基于Google Android 10）,海思 麒麟820,10.4,2000x1200,460,2293,9.3,锂电池,7250
华为,华为MatePad 11英寸 2023（8GB/256GB/WiFi/柔光版/曜石黑）,2023,,2999,8,256,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,7250
华为,华为平板C5e(4GB/64GB/WiFi版),,,1749,4,64,华为EMUI 10.1（基于Android 10）,海思 麒麟710A,10.1,1920×1200,,0,0,锂聚合物电池,容量：5100mAh(典型值)，4980mAh（额定值）
华为,HUAWEI MatePad Pro 12.6英寸 2022(8GB+256GB/wifi),2022,9,4999,8,256,HarmonyOS 3,麒麟9000E,12.6,2560x1600,,18,9.8,锂离子聚合物电池,10050
华为,华为MatePad (4GB/128GB/WiFi/麒麟820),2020,10,1899,4,128,EMUI 10.1（基于Google Android 10）,海思 麒麟820,10.4,2000x1200,460,2293,9.3,锂电池,7250
华为,华为平板M6 10.8英寸（4GB/64GB/全网通）,2019,6,2799,4,64,Android9.0+EMUI 9.1,海思 麒麟980,10.8,2560x1600,498,703,9.1,锂电池,7500
华为,华为平板C7(6GB/128GB/WiFi),2022,,3549,6,128,HarmonyOS 2,高通 骁龙865,10.95,2560x1600,485,2,10,锂电池,7259mAh典型值，7150额定值
华为,华为MatePad Pro 12.6英寸(12GB/512GB/5G版/键盘/笔),2021,9,10199,12,512,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为MatePad SE 10.4 6GB/128GB/LTE,2023,2,1699,6,128,HarmonyOS 3,高通 骁龙680,10.4,2000x1200,468,2,8,锂电池,7700
华为,华为平板M6 8.4英寸（8GB/128GB/WiFi）,2019,6,1949,8,128,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,6100
华为,华为平板M6 8.4英寸（4GB/64GB/全网通）,2019,6,2199,4,64,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,6100
华为,HUAWEI MatePad Pro 11英寸(12GB/512GB/WIFI/性能版),2022,8,5494,12,512,HarmonyOS 3,高通 骁龙888,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为平板M6 10.8英寸（4GB/64GB/WiFi）,2019,6,2599,4,64,Android9.0+EMUI 9.1,海思 麒麟980,10.8,2560x1600,498,703,9.1,锂电池,7500
华为,HUAWEI MatePad Pro 12.6英寸 2022(12GB+512GB/wifi),2022,9,6899,12,512,HarmonyOS 3,麒麟9000E,12.6,2560x1600,,18,9.8,锂离子聚合物电池,10050
华为,HUAWEI MatePad Pro 11英寸(8GB/256GB/WIFI/性能版),2022,8,3999,8,256,HarmonyOS 3,高通 骁龙888,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为MatePad Pro 12.6英寸(8GB/256GB/5G版/键盘/笔),2021,6,7999,8,256,HarmonyOS 2,海思 麒麟9000,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,HUAWEI MatePad Pro 11英寸(8GB/256GB/全网通/性能版),2022,8,5294,8,256,HarmonyOS 3,高通 骁龙888,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为平板C5 2021 (4GB/64GB/WiFi),2021,,2599,4,64,华为EMUI 10.1（基于Android 10）,海思 麒麟820,10.4,2000*1200,460,0,0,锂聚合物电池,典型值7250mAh，额定值4400mAh
华为,HUAWEI MatePad Pro 11英寸(12GB/512GB/全网通/性能版/键盘/笔),2022,8,7699,12,512,HarmonyOS 3,高通 骁龙888,11,2560x1600,449,102,9.9,锂聚合物电池,8300
华为,华为平板C5 2021 (4GB/128GB/WiFi),2021,,2609,4,128,华为EMUI 10.1（基于Android 10）,海思 麒麟820,10.4,2000*1200,460,0,0,锂聚合物电池,典型值7250mAh，额定值4400mAh
华为,华为MatePad Pro 12.6英寸(8GB/512GB/WiFi/键盘/笔),2021,7,7599,8,512,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为平板M6 10.8英寸（4GB/128GB/WiFi）,2019,6,2699,4,128,Android9.0+EMUI 9.1,海思 麒麟980,10.8,2560x1600,498,703,9.1,锂电池,7500
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/标准版/晶钻白）,2023,,2499,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,华为MatePad Pro 12.6英寸(8GB/128GB/WiFi/键盘/笔),2021,6,6699,8,128,HarmonyOS 2,海思 麒麟9000E,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为MatePad Pro 12.6英寸(8GB/512GB/5G版/键盘/笔),2021,7,8899,8,512,HarmonyOS 2,海思 麒麟9000,12.6,2560x1600,609,2990,9.5,锂聚合物电池,10050
华为,华为平板M6 10.8英寸（4GB/128GB/全网通）,2019,6,4999,4,128,EMUI 9.1,海思 麒麟980,10.8,2560x1600,498,703,9.1,锂电池,7500
华为,华为平板C5e(4GB/64GB/LTE版),,,2099,4,64,华为EMUI 10.1（基于Android 10）,海思 麒麟710A,10.1,1920×1200,,0,0,锂聚合物电池,容量：5100mAh(典型值)，4980mAh（额定值）
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/柔光版/曜石黑）,2023,,2699,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,480,1,2,锂聚合物电池,8300
华为,华为平板M6 8.4英寸（4GB/128GB/WiFi）,2019,6,2199,4,128,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,6100
华为,华为MatePad 11英寸 2023（8GB/128GB/WiFi/标准版/流光紫）,2023,,2499,8,128,HarmonyOS 3,高通 骁龙870,11,2560x1600,449,1,2,锂聚合物电池,8300
华为,HUAWEI MatePad 10.4英寸 2022款（4GB/128GB/WiFi）,2022,3,1899,4,128,HarmonyOS 2,海思 麒麟710A,10.4,2000x1000,450,4423,10,锂电池,7250
华为,华为平板M6 8.4英寸（4GB/128GB/全网通）,2019,6,2499,4,128,EMUI 9.1,海思 麒麟980,8.4,2560x1600,320,703,9.1,锂聚合物电池,6100
华为,华为MediaPad S7-301u,2012,5,2399,,8,Android3.2,,7,1280x800,390,3,8,锂电池,
华为,华为MediaPad M5 10 Pro（4GB/128GB/LTE）,2018,,4659,4,128,,海思 麒麟960,10,2560x1600,,163,9.8,,
小米,小米平板5 Pro(8GB/256GB/WiFi版),2021,8,2699,8,256,MIUI 12.5 （基于 Android 11）,高通 骁龙870,11,2560x1600,515,5126,9.9,锂电池,8600
小米,小米平板5(6GB/256GB/WiFi),2021,8,2299,6,256,MIUI 12.5 （基于 Android 11）,高通 骁龙860,11,2560x1600,511,5937,8.8,锂电池,8720
小米,小米平板5 Pro 12.4(6GB/128GB/WiFi),2022,8,2699,6,128,MIUI 13 （基于 Android 12）,高通 骁龙870,12.4,2560x1600,620,415,8.8,锂电池,10000
小米,小米平板4（4GB/64GB/WiFi版）,2018,6,1445,4,64,Android8.1,骁龙660 AIE,8,1920x1200,342.5,416,8.4,锂电池,6000
小米,小米平板5 Pro(6GB/128GB/WiFi版),2021,8,1999,6,128,MIUI 12.5 （基于 Android 11）,高通 骁龙870,11,2560x1600,515,5126,9.9,锂电池,8600
小米,小米平板5 Pro 12.4(8GB/256GB/WiFi),2022,8,2999,8,256,MIUI 13 （基于 Android 12）,高通 骁龙870,12.4,2560x1600,620,415,8.8,锂电池,10000
小米,小米平板5 Pro(8GB/256GB/5G版),2021,8,3199,8,256,MIUI 12.5 （基于 Android 11）,高通 骁龙870,11,2560x1600,518,5126,9.9,锂电池,8600
小米,小米平板5 Pro 12.4(12GB/512GB/WiFi),2022,8,2799,12,512,MIUI 13 （基于 Android 12）,高通 骁龙870,12.4,2560x1600,620,415,8.8,锂电池,10000
小米,小米平板5 Pro(6GB/256GB/WiFi版),2021,8,2499,6,256,MIUI 12.5 （基于 Android 11）,高通 骁龙870,11,2560x1600,515,5126,9.9,锂电池,8600
小米,小米平板5 Pro 12.4(8GB/128GB/WiFi),2022,8,2999,8,128,MIUI 13 （基于 Android 12）,高通 骁龙870,12.4,2560x1600,620,415,8.8,锂电池,10000
小米,小米平板5(8GB/256GB/WiFi),2022,,2459,8,256,MIUI 12.5 （基于 Android 11）,高通 骁龙860,11,2560x1600,511,5937,8.8,锂电池,8720
小米,小米平板5 Pro(8GB/128GB/WiFi版),2021,8,2599,8,128,MIUI 12.5 （基于 Android 11）,高通 骁龙870,11,2560x1600,515,5126,9.9,锂电池,8600
小米,小米平板5(8GB/128GB/WiFi),2022,9,2099,8,128,MIUI 12.5 （基于 Android 11）,高通 骁龙860,11,2560x1600,511,5937,8.8,锂电池,8720
三星,三星Galaxy Tab S8（128GB/5G版）,2022,3,5999,8,128,Android12（One UI 4.1）,高通 骁龙8 Gen1,11,2560x1600,507,79,9.9,聚合物锂电池,8000
三星,三星Galaxy Tab S8 Ultra（16GB/512GB/5G版/键盘套装）,2022,3,9999,16,512,Android12（One UI 4.1）,高通 骁龙8 Gen1,14.6,2960x1920,728,193,10,聚合物锂电池,11200
三星,三星Galaxy Tab S7(6GB/128GB/WLAN版),2020,8,4699,6,128,Android10,高通 骁龙865+,11,2560x1600,498,310,8.2,聚合物锂电池,8000
三星,三星Galaxy Tab S8+（128GB/5G版）,2022,3,7399,8,128,Android12（One UI 4.1）,高通 骁龙8 Gen1,12.4,2800x1752,572,44,9.9,聚合物锂电池,10090
三星,三星Galaxy Tab S8 Ultra（16GB/512GB/WLAN版）,2022,3,8999,16,512,Android12（One UI 4.1）,高通 骁龙8 Gen1,14.6,2960x1848,726,193,10,聚合物锂电池,11200
三星,三星Galaxy Tab S6 WLAN(6GB/128GB),2019,9,5299,6,128,Android9,高通 骁龙855,10.5,2560x1600,420,79,7.8,7040mAh锂电池（典型值）,
三星,三星Galaxy Tab S6 Lite（4GB/64GB）,2020,,2599,4,64,ONE UI2.1,三星 Exynos 9611,10.4,2000x1200,465,109,9.7,锂电池,7040
三星,三星Galaxy Tab A8(4GB/64GB/WLAN版),2022,1,1399,4,64,Android,紫光展锐 虎贲 T618,10.5,1920x1200,508,179,9.4,锂电池,7040
三星,三星Galaxy Tab S8 Ultra（16GB/512GB/WLAN版/键盘套装）,2022,3,10999,16,512,Android12（One UI 4.1）,高通 骁龙8 Gen1,14.6,2960x1848,726,193,10,聚合物锂电池,11200
三星,三星Galaxy Tab A8(4GB/128GB/WLAN版),2022,1,1699,4,128,Android,紫光展锐 虎贲 T618,10.5,1920x1200,508,179,9.4,锂电池,7040
三星,三星Galaxy Tab S8+（256GB/WLAN版）,2022,3,6699,8,256,Android12（One UI 4.1）,高通 骁龙8 Gen1,12.4,2800x1752,567,2,9.9,聚合物锂电池,10090
三星,三星Galaxy Tab S6 4G(8GB/256GB),2019,9,2899,8,256,Android9,高通 骁龙855,10.5,2560x1600,420,79,7.8,7040mAh锂电池（典型值）,
三星,三星Galaxy Tab S8（128GB/WLAN）,2022,3,4999,8,128,Android12（One UI 4.1）,高通 骁龙8 Gen1,11,2560x1600,503,66,9.9,聚合物锂电池,8000
三星,三星Galaxy Tab S6 Lite（4GB/128GB）,2020,,2899,4,64,ONE UI2.1,三星 Exynos 9611,10.4,2000x1200,465,109,9.7,锂电池,7040
三星,三星Galaxy Tab S8+（128GB/WLAN版）,2022,3,6399,8,128,Android12（One UI 4.1）,高通 骁龙8 Gen1,12.4,2800x1752,567,44,9.9,聚合物锂电池,10090
三星,三星Galaxy Tab S6 Lite 4g(4GB/64GB),2020,,3099,4,64,Android 10.0,三星 Eyxnos 9611,10.4,2000x1200,,108,9.7,锂电池,7040
三星,三星Galaxy Tab S8（256GB/WLAN）,2022,3,5299,8,256,Android12（One UI 4.1）,高通 骁龙8 Gen1,11,2560x1600,503,79,9.9,聚合物锂电池,8000
三星,三星Galaxy Tab S8+（256GB/5G版）,2022,3,7699,8,256,Android12（One UI 4.1）,高通 骁龙8 Gen1,12.4,2800x1752,572,2,9.9,聚合物锂电池,10000
三星,三星Galaxy Tab S8（256GB/5G版）,2022,3,6299,8,256,Android12（One UI 4.1）,高通 骁龙8 Gen1,11,2560x1600,507,79,9.9,聚合物锂电池,8000
三星,三星Galaxy Tab S8 Ultra（16GB/512GB/5G版）,2022,3,9069,16,512,Android12（One UI 4.1）,高通 骁龙8 Gen1,14.6,2960x1848,728,193,10,聚合物锂电池,11200
三星,三星Galaxy Tab A8 Lite(4GB/128GB/WLAN版),2022,1,1999,4,128,Android,紫光展锐 虎贲 T618,10.5,1920x1200,508,179,9.4,锂电池,7040
三星,三星Galaxy Tab A T290(WLAN版),2019,,1299,3,32,Android P,,8,1280 x 800 (WXGA),345,15,8.1,5100毫安,
三星,三星Galaxy Tab A T295(4G版),2019,11,1699,3,32,Android P,,8,1280 x 800 (WXGA),345,3,8,5100毫安,
三星,三星Galaxy Tab A8 Lite(4GB/64GB/WLAN版),2022,1,1699,4,64,Android,紫光展锐 虎贲 T618,10.5,1920x1200,508,179,9.4,锂电池,7040
三星,三星Galaxy Tab S6 Lite 4g(4GB/128GB),2020,,3399,4,128,Android 10.0,三星 Eyxnos 9611,10.4,2000x1200,,109,9.7,锂电池,7040
三星,三星Galaxy Tab S6 WLAN(8GB/256GB),2019,9,7869,8,256,Android9,高通 骁龙855,10.5,2560x1600,420,79,7.8,7040mAh锂电池（典型值）,
三星,三星Galaxy View 2（64GB/联通版）,,,8159,4,64,Android 8.1,Exynos 7885,17.3,1920x1080,386,4,8.9,,
三星,三星Galaxy S WiFi 4.0（8GB）,,,1799,,,Android2.2,,4,800×480,121,2,7,1200mAh,
三星,三星Slate XE700T1A-A02,2012,5,8900,4,64,Windows 7 Home Premium,Intel 酷睿i5 2467M,11.6,1366x768,860,17,8.3,4芯锂电池,
三星,三星Slate XE700T1A,2011,11,8900,4,64,Windows 7 旗舰版,Intel 酷睿 i3,11.6,1366x768,860,17,8.3,4芯锂电池,
三星,三星700T1A（Windows 8）,2011,12,11000,4,64,Windows 8（简体中文版）,Intel 酷睿i5 2467M,11.6,1366x768,860,5,8.8,锂电池,
三星,三星Slate XE700T1A-A03US,2011,11,11200,4,128,Windows 7 旗舰版,Intel 酷睿i5 2467M,11.6,1366x768,860,17,8.3,4芯锂电池,
三星,三星Galaxy Book（8GB/256GB/12英寸/WiFi版）,2017,2,7590,8,256,Windows 10,Intel 酷睿i5 7200U,12,2160x1440,754,1,10,锂电池,
荣耀,荣耀平板V8 Pro（8GB/128GB/WiFi版）,2022,12,2599,8,128,MagicOS 7.0（基于Android 12）,联发科 天玑8100,12.1,2560x1600,589,43,9.9,聚合物锂电池,10050
荣耀,荣耀平板8 （4GB/128GB/WiFi版）,2022,7,1499,4,128,Magic UI 6.1（基于Android S）,高通 骁龙680,12,2000x1200,,216,10,锂离子聚合物电池,7250
荣耀,荣耀平板V7 Pro（8GB/128GB/WiFi）,2021,8,2799,8,128,Magic UI 4.0（基于Android 11）,联发科 迅鲲1300T,11,2560x1600,485,2215,9.2,聚合物锂电池,7250
荣耀,荣耀平板7(4GB/64GB/WiFi),2021,3,1199,4,64,Magic UI 4.0（基于Android 10）,联发科 MT8786,10.1,1920x1200,,2307,8.8,聚合物锂电池,5100
荣耀,荣耀平板V7 Pro（6GB/128GB/WiFi）,2021,8,2599,6,128,Magic UI 4.0（基于Android 11）,联发科 迅鲲1300T,11,2560x1600,485,2215,9.2,聚合物锂电池,7250
荣耀,荣耀平板X8（6GB/128GB/WiFi版）,2022,9,1399,6,128,Magic UI 4.0（基于Android 10）,MediaTek MT8786,10.1,1920x1200,460,10,10,锂离子聚合物电池,5100
荣耀,荣耀平板V7 Pro（8GB/256GB/WiFi）,2021,8,3299,8,256,Magic UI 4.0（基于Android 11）,联发科 迅鲲1300T,11,2560x1600,485,2215,9.2,聚合物锂电池,7250
荣耀,荣耀平板V7 Pro（8GB/256GB/5G版）,2021,10,3398,8,256,Magic UI 5.0（基于Android 11）,联发科 迅鲲1300T,11,2560x1600,485,2215,9.2,聚合物锂电池,7250
荣耀,荣耀平板V8 Pro（12GB/256GB/WiFi版）,2022,12,2999,12,256,MagicOS 7.0（基于Android 12）,联发科 天玑8100,12.1,2560x1600,589,43,9.9,聚合物锂电池,10050
荣耀,荣耀平板V6 10.4英寸（64GB/WiFi版）,2020,5,2199,6,64,Magic UI 3.1,海思 麒麟985,10.4,2000x1200,480,3575,8.9,锂电池,7250
荣耀,荣耀平板V7（8GB/128GB/WiFi）,2021,9,2299,8,128,Magic UI 5.0（基于Android 11）,联发科 迅鲲900T,10.4,2000x1200,480,1487,9.2,聚合物锂电池,7250
荣耀,荣耀平板8  （6GB/128GB/WiFi版）,2022,7,1799,6,128,Magic UI 6.1（基于Android S）,高通 骁龙680,12,2000x1200,,216,10,锂离子聚合物电池,7250
荣耀,荣耀平板V7（6GB/128GB/WiFi）,2021,9,1999,6,128,Magic UI 5.0（基于Android 11）,联发科 迅鲲900T,10.4,2000x1200,480,1487,9.2,聚合物锂电池,7250
荣耀,荣耀平板V8 Pro（8GB/256GB/WiFi版）,2022,12,2679,8,256,MagicOS 7.0（基于Android 12）,联发科 天玑8100,12.1,2560x1600,589,43,9.9,聚合物锂电池,10050
荣耀,荣耀平板6（3GB/32GB/WiFi）,2020,7,1299,3,32,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀平板V7（6GB/128GB/5G版）,2021,9,2599,6,128,Magic UI 5.0（基于Android 11）,联发科 迅鲲900T,10.4,2000x1200,480,1487,9.2,聚合物锂电池,7250
荣耀,荣耀平板6（4GB/64GB/LTE）,2020,7,1899,4,64,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀平板6（4GB/64GB/WiFi）,2020,7,1399,4,64,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀平板V7（4GB/128GB/WiFi）,2021,9,1799,4,128,Magic UI 5.0（基于Android 11）,联发科 迅鲲900T,10.4,2000x1200,480,1487,9.2,聚合物锂电池,7250
荣耀,荣耀平板X8（4GB/128GB/WiFi版）,2022,9,1199,4,128,Magic UI 4.0（基于Android 10）,MediaTek MT8786,10.1,1920x1200,460,10,10,锂离子聚合物电池,5100
荣耀,荣耀平板6（4GB/128GB/WiFi）,2020,7,1699,4,128,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀平板6（4GB/128GB/LTE）,2020,7,1899,4,128,,海思 麒麟710A,10.1,1920x1200,460,994,8.7,聚合物锂电池,
荣耀,荣耀畅玩平板2（3GB/32GB/LTE版/9.6英寸）,2017,5,1289,3,32,Android7.0,骁龙425,9.6,1280x800,460,451,7.9,理论待机时间：约500小时,
中柏,中柏EZpad Pro8(8GB/128GB),2020,5,1559,8,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad Pro8(6GB/128GB),2020,5,1388,6,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad Pro8(12GB/128GB),2020,5,1748,12,128,Windows 10,Intel Apollo Lake N3450,11.6,1920x1080,600,1078,7.8,聚合物锂电池,9000
中柏,中柏EZpad M10S(6GB/128GB),,,849,6,128,,紫光展锐 虎贲T610,10.1,1920x1200,,18,9.8,锂电池,5000
中柏,中柏EZpad go（4GB/128GB）,2016,3,1799,4,128,Windows 10,Intel APOLLO LAKE N3450,11.6,1920*1080,800,132,9.7,聚合物锂电池,6500
中柏,中柏EZpad go（4GB/64GB）,2016,3,1498,4,64,Windows 10,Intel APOLLO LAKE N3450,11.6,1920*1080,800,16,10,聚合物锂电池,6500
中柏,中柏EZpadGo（4GB/64GB）,2019,3,1699,4,64,Windows 10,Intel 赛扬 N3450,11.6,1920x1080,800,0,0,聚合物锂电池,
中柏,中柏EZpadGo（4GB/128GB）,2019,3,1899,4,128,Windows 10,Intel 赛扬 N3450,11.6,1920x1080,800,0,0,聚合物锂电池,
酷比魔方,酷比魔方iPlay 50 Pro（8GB/128GB）,2022,12,869,8,128,Android12,联发科 Helio G99,10.4,2000x1200,466,12,10,锂电池,6000
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB),2022,,2899,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iPlay 50（4GB/64GB）,2022,11,699,4,64,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,9,9.1,锂电池,6000
酷比魔方,酷比魔方iPlay 50 SE（4GB/64GB）,2023,3,579,4,64,Android12,联发科MT8183,10.5,1920x1080,,0,0,锂电池,5300
酷比魔方,酷比魔方iWork GT(i5 1135G7/8GB/256GB),2022,,3999,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/1TB/悬浮磁吸键盘),2022,,6198,16,1024,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iPlay 50（6GB/128GB）,2022,11,899,6,128,Android12,紫光展锐 虎贲T618,10.4,2000x1200,475,0,0,锂电池,6000
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/512GB),2022,,3499,8,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB/磁吸键盘),2022,,3099,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,酷比魔方iWork GT(i5 1135G7/16GB/512GB),2022,,4999,16,512,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,87,9.4,,
酷比魔方,酷比魔方iWork GT(i3 1115G4/8GB/256GB/悬浮磁吸键盘),2022,,3199,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i3 1115G4,11,2000x1200,600,90,9.4,,
酷比魔方,CUBE（酷比魔方）iWork GT i5 1135G7 8GB 256GB 无,2022,,3599,8,256,Windows 11 Home Basic 64bit（64位家庭普通版）,Intel 酷睿i5 1135G7,11,2000x1200,600,90,9.4,,
